"","State Name","Total Electoral Votes","Percent In","Democratic Candidate","Republican Candidate"
"1","Alabama","9","100%",843473,1434159
"2","Alaska","3","99%",153551,189457
"3","Arizona","11","100%",1672143,1661686
"4","Colorado","9","99%",1803941,1364226
"5","Florida","29","100%",5297045,5668731
"6","Georgia","16","100%",2474507,2461837
"7","Indiana","11","99%",1241774,1729446
"8","Kansas","6","100%",551199,753370
"9","Maine","4","92%",420588,342325
"10","Massachusetts","11","95%",2319420,1149614
"11","Minnesota","10","99%",1716578,1483807
"12","New Jersey","14","100%",2599245,1876252
"13","North Carolina","15","99%",2684302,2758775
"14","North Dakota","3","100%",114902,235595
"15","Oklahoma","7","100%",503890,1020280
"16","Pennsylvania","20","100%",3455607,3374128
"17","South Dakota","3","100%",150471,261043
"18","Texas","38","99%",5261055,5891778
"19","Wyoming","3","100%",73491,193559
"20","Connecticut","7","99%",1080575,715651
"21","Missouri","10","99%",1252371,1717685
"22","West Virginia","5","100%",235847,545051
"23","Illinois","20","98%",3449415,2434471
"24","New Mexico","5","100%",501526,401848
"25","Arkansas","6","99%",423503,759715
"26","California","55","100%",11019605,5934370
"27","Delaware","3","100%",296268,200603
"28","District of Columbia","3","95%",307265,18172
"29","Hawaii","4","99%",366130,196864
"30","Iowa","6","98%",758881,897467
"31","Kentucky","8","100%",772474,1326646
"32","Maryland","10","97%",1977535,974476
"33","Michigan","16","100%",2804039,2649852
"34","Mississippi","6","100%",539494,756731
"35","Montana","3","100%",244786,343602
"36","New Hampshire","4","100%",424921,365654
"37","New York","29","84%",4007900,2960070
"38","Ohio","18","97%",2677738,3150642
"39","Oregon","7","99%",1346075,966537
"40","Tennessee","11","100%",1139376,1849820
"41","Utah","6","99%",560282,865140
"42","Virginia","13","100%",2413568,1962430
"43","Washington","12","99%",2365923,1581220
"44","Wisconsin","10","100%",1630716,1610151
"45","Nebraska","5","100%",374362,556331
"46","South Carolina","9","100%",1091541,1385103
"47","Idaho","4","99%",287021,554118
"48","Nevada","6","100%",703486,669890
"49","Vermont","3","100%",242820,112704
"50","Louisiana","8","100%",856034,1255776
"51","Rhode Island","4","99%",306192,199830
